"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R1-New England Region,Planning,"Repair/Repave Asphalt Driveway, Burlington Federal Building",Burlington,VT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$100,000.00","$250,000.00",,n/a,TBD,New Requirement,GSA funded,4/1/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of Firing Range Decomissioning Project, Swanton Border Patrol Sector HQ",Swanton,VT,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$25,000.00","$50,000.00",,n/a,TBD,New Requirement,Non-GSA funded,11/5/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Firing Range Decommissionng Project, Swanton Border Patrol Sector HQ",Swanton,VT,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$250,000.00","$500,000.00",,n/a,TBD,New Requirement,Non-GSA funded,5/1/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"DOL-OSHA Renovation Project, Muskie Federal Building",Augusta,ME,236220,Small Business,Firm Fixed Price,Sealed Bid,Set-Aside,"$250,000.00","$500,000.00",,n/a,TBD,New Requirement,Both,12/1/14,,FY 2015-2nd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,"Combined Janitorial & Mechanical Maintenance, LPOEs Jackman & Coburn Gore, Maine",Jackman,ME,561210,Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$2,000,000.00","$2,000,000.00",,"CMC & Maintenance, Inc.",TBD,New Requirement,GSA funded,10/30/14,https://www.fbo.gov/spg/GSA/PBS/1PK/GS-01P-15-BW-D-0003/listing.html,FY 2015-2nd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,"Janitorial Services, Burlington FB, Burlington SSA, & Prouty FB",Burlington,VT,561720,AbilityOne,Firm Fixed Price,Ability One,Sole Source,"$1,500,000.00","$1,500,000.00",,Northern New England Employeement Services,TBD,New Requirement,GSA funded,11/5/14,,FY 2015-2nd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Janitorial Services, M.C. Smith Federal Building",Bangor,ME,561720,AbilityOne,Firm Fixed Price,Ability One,Sole Source,"$2,000,000.00","$2,000,000.00",,Northern New England Employeement Services,TBD,New Requirement,GSA funded,1/15/15,,FY 2015-2nd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,"USDC  Ceiling & Lighting, Lee CHTS",New Haven,CT,238990,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00,"$50,146.00",,n/a,TBD,New Requirement,Non-GSA funded,to be determined,,FY 2015-1st Quarter,Francis Vecchitto,francis.vecchitto@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,SECURITY FILM,NEW HAVEN,CT,561621,Small Business,Firm Fixed Price,Purchase Order,Full and Open Competition,$0.00,"$7,799.00",,N/A,TBD,New Requirement,Non-GSA funded,10/3/14,,FY 2015-1st Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Awarded,Replace fuel pump and tank,NEW HAVEN,CT,238220,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00,"$25,853.00",,N/A,GS-01P-11-NL-D-0061 / GS-P-01-15-5001,New Requirement,GSA funded,,,FY 2015-1st Quarter,James Nelson,James.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Install Water Booster Pump & Tank,NEW HAVEN,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$35,000.00",,n/A,,New Requirement,GSA funded,To be determined,,FY 2015-1st Quarter,james Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Upgrade NE stair repairs,NEW HAVEN,CT,238350,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$40,000.00",,n/A,TBD,New Requirement,GSA funded,To be determined,,FY 2015-1st Quarter,james Nelson,James.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Envelope Leak Repair,NEW HAVEN,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$66,000.00",,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Replace fuel pump and tank,New Haven,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$25,853.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Replace Chillers,New Haven,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$20,300.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Envelopoe Leak Repair,New Haven,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$156,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Install water booster pump and tank,New Haven,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$35,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Upgrade NE stair repairs,New Haven,CT,236220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$40,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,James Nelson,james.nelson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Exterior Waterproofing and Drainage,Providence,RI,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$15,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Gerald Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Repair Parking Lot Draiin,Providence,RI,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$28,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Gerald Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
